file,modelo,time,score
Cars424.png,original,239,0.557576
KJD-0885.jpg,original,215,0.815457
Cars426.png,original,214,0.724777
Cars414.png,original,225,0.0781452
Cars427.png,original,212,0.0685529
Cars413.png,original,213,0.236274
LBS-2737.jpg,original,213,0.835741
Cars418.png,original,218,0.736086
Cars432.png,original,212,0.849982
Cars429.png,original,213,0.181413
IMG_0387.jpg,original,213,0.736587
CYU-8900.jpg,original,214,0.691989
Cars423.png,original,212,0.817235
Cars411.png,original,213,0.848985
Cars421.png,original,212,0.0933442
JID-9361.jpg,original,213,0.796349
Cars419.png,original,212,0.907957
KVT-4240.jpg,original,213,0.835313
KPW-4317.jpg,original,210,0.876547
Cars405.png,original,212,0.189088
Cars422.png,original,213,0.0610927
Cars428.png,original,213,0.90825
FJY-9514 (3).jpg,original,213,0.830612
Cars404.png,original,212,0.789103
Cars416.png,original,213,0.197162
Cars417.png,original,213,0.720796
Cars407.png,original,219,0.335588
DSQ-6618 (2).jpg,original,213,0.864441
Cars425.png,original,213,0.906159
Cars431.png,original,213,0.0748426
Cars430.png,original,220,0.532917
HSY-3077.jpg,original,214,0.794052
Cars415.png,original,213,0.539108
IMG_0466.jpg,original,213,0.71978
Cars400.png,original,212,0.4804
KKK-2098.jpg,original,213,0.36558
Cars408.png,original,213,0.0798511
Cars420.png,original,213,0.261426
Cars412.png,original,212,0.90135
Cars401.png,original,213,0.609213
Cars402.png,original,212,0.110897
AHH-0999.jpg,original,213,0.786539
IMG_0475.jpg,original,214,0.778766
Cars409.png,original,212,0.353625
Cars410.png,original,213,0.805639
KZD-5187.jpg,original,214,0.829157
IMG_0467.jpg,original,213,0.712335
IMG_0470.jpg,original,218,0.842151
Cars406.png,original,214,0.885062
Cars403.png,original,213,0.336957
Cars424.png,full_int8,95,-2.867e+36
KJD-0885.jpg,full_int8,69,-2.867e+36
Cars426.png,full_int8,73,-2.867e+36
Cars414.png,full_int8,74,-2.867e+36
Cars427.png,full_int8,70,-2.867e+36
Cars413.png,full_int8,69,-2.867e+36
LBS-2737.jpg,full_int8,69,-2.867e+36
Cars418.png,full_int8,69,-2.867e+36
Cars432.png,full_int8,69,-2.867e+36
Cars429.png,full_int8,69,-2.867e+36
IMG_0387.jpg,full_int8,69,-2.867e+36
CYU-8900.jpg,full_int8,69,-2.867e+36
Cars423.png,full_int8,69,-2.867e+36
Cars411.png,full_int8,69,-2.867e+36
Cars421.png,full_int8,69,-2.867e+36
